title,date,location,organizer,link,description
Dreiser Hall Pizza Tasting,"Thursday, February 27 at 7:30PM EST",Dreiser Classroom,Tabler Community,https://stonybrook.campuslabs.com/engage/event/11084256,Join us for a Pizza Tasting Event! Try a variety of delicious pizzas and vote for your favorites.
Mario Kart & Mocktails,"Thursday, February 27 at 7:30PM EST",Union 108 - CPO Office,Center for Prevention and Outreach,https://stonybrook.campuslabs.com/engage/event/11002571,Join CPO for a fun night of Mario Kart with a twist! Enjoy mocktails and learn how to prevent drunk driving.
GBM 3 - Pre-Health Trivia Night,"Thursday, February 27 at 7:30PM EST",SAC 303,Medlife at Stony Brook University,https://stonybrook.campuslabs.com/engage/event/11002139,"Join MedLife for a fun 🎉 night🌙 of trivia 🙋‍♂️ questions relating to health 🩺 and healthcare 🩺❤️‍🩹. Do you have what it takes to score a perfect 💯 and be the master  🏆of the health trade❓ Enjoy a fun and friendly 👯‍♀️ competition to boost 📈 you for the semester ahead ➡️❗

DATE 📆: Thursday, February 27th
TIME⏰: 7:30-8:30 P.M. 🕢
LOCATION📍🗺️: SAC 303"
Stony Brook Men's Basketball vs. Hofstra,"Thursday, February 27 at 7:00PM EST",Stony Brook Arena,Stony Brook Athletics,https://stonybrook.campuslabs.com/engage/event/10697943,Come join us at Stony Brook Arena as the Seawolves take on the Pride!
Self Defense Class with  UPD & RA serenity,"Thursday, February 27 at 7:00PM EST",Keller Hall Lounge,Roosevelt Community,https://stonybrook.campuslabs.com/engage/event/10515882,All are welcome to join RA Serenity and UPD to learn some self defense tips and moves in Keller Hall's Lounge
Wolfiethon Meetings,"Thursday, February 27 at 7:00PM EST",Student Union - F&S Lounge,Wolfiethon ,https://stonybrook.campuslabs.com/engage/event/10998908,Wolfiethon weekly meetings for Spring 2025. 7pm to 8pm will strictly be the meeting time for the Wolfiethon Eboard and Committee. 8pm to 9pm will be the meeting time for our Team Captains.
MALIK: Black History Month Movie Night,"Thursday, February 27 at 7:00PM EST",Union Auditorium,"MALIK Fraternity, Inc.",https://stonybrook.campuslabs.com/engage/event/11090846,Come watch a thrilling movie relating to Black History Month with us!
February Swiss Tournament,"Thursday, February 27 at 6:00PM EST",Roth 122,Chess Club,https://stonybrook.campuslabs.com/engage/event/10777952,Come to Roth 122 to participate in Chess Club's first Swiss tournament of the 2025 Spring semester! We plan to play with 5+2 time control and food and drinks will be provided.
Maslenitsa,"Thursday, February 27 at 6:00PM EST",The Shore Club (SAC 169),N/A,https://stonybrook.campuslabs.com/engage/event/11007919,"Join us for a fun-filled event where you can enjoy decorating delicious kosher blinchiki (Russian-style crepes), connect with friends, and soak in the festive vibes. Don't miss this chance to embrace the season with tasty treats and great company!"
ASA X SASA Presents: Lost in the Sauce,"Thursday, February 27 at 7:00PM EST",Student Union - Ballroom,Asian Students Alliance,https://stonybrook.campuslabs.com/engage/event/11031269,"Come join us at Union Ballroom on Thursday, February 27th at 7pm. Explore Asian culture through the variety of sauces they provide. Food will be provided and cap is 100 so be there fast!!"
Black History Month Closing Celebration Fireside Chat with Influencer & Comedian Whitney Davis,"Thursday, February 27 at 7:00PM EST","Student Activities Center, Ballroom A",N/A,https://stonybrook.campuslabs.com/engage/event/10804661,Save the Date for the 2025 Black History Month Closing Program!Join this exciting culminating event in honor of Black History Month featuring a fireside chat with former SB Women’s Basketball player turned Comedian Whitney Davis ‘12.
CUC Lunar New Year Festival,"Thursday, February 27 at 7:00PM EST",SAC AUDITORIUM,Chinese Unity Club,https://stonybrook.campuslabs.com/engage/event/11095044,This is an event to celebrate Chinese Tradition holiday.
USG Spring Senate Meeting,"Thursday, February 27 at 7:30PM EST",SAC 302,Undergraduate Student Government ,https://stonybrook.campuslabs.com/engage/event/10815223,Agenda: AgendasStony Brook Undergraduate Student Government Senate Meeting. The meeting starts at 7:30 PM in SAC 302 or on ZoomJoin Zoom Meetinghttps://stonybrook.zoom.us/j/98098084342?pwd=cR8gA27AoIPmTBS9LVH7rY4EvAquVY.1Meeting ID: 980 9808 4342Passcode: 632172
Taandava Practice 24-25 Thursday (Jan 2 - May 8),"Thursday, February 27 at 8:00PM EST",Union L06-01A/ Union Club Hub,Taandava,https://stonybrook.campuslabs.com/engage/event/10400858,Taandava will host weekly Thursday practices at the Union.
